level2.phylum.gg,level3.class.gg,level4.order.gg,level5.family.gg,level6.genus.gg
k__Bacteria;p__AD3,k__Archaea;p__Crenarchaeota;c__pISA9,k__Archaea;p__Crenarchaeota;c__MBGA;o__,k__Archaea;p__Crenarchaeota;c__Korarchaeota;o__Korarchaeotales;f__Korarchaeotaceae,k__Archaea;p__Crenarchaeota;c__Aigarchaeota;o__[Caldiarchales];f__[Caldiarchaceae];g__Candidatus Caldiarchaeum
k__Bacteria;p__AncK6,k__Archaea;p__Crenarchaeota;c__pOWA133,k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J,k__Archaea;p__Crenarchaeota;c__Korarchaeota;o__pJP78;f__,k__Archaea;p__Crenarchaeota;c__Korarchaeota;o__Korarchaeotales;f__;g__
k__Bacteria;p__Aquificae,k__Archaea;p__Crenarchaeota;c__pUWA2,k__Archaea;p__Crenarchaeota;c__MBGB;o__,k__Archaea;p__Crenarchaeota;c__MBGA;o__;f__,k__Archaea;p__Crenarchaeota;c__Korarchaeota;o__Korarchaeotales;f__Korarchaeotaceae;g__
k__Bacteria;p__Armatimonadetes,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota,k__Archaea;p__Crenarchaeota;c__MCG;o__,k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J;f__,k__Archaea;p__Crenarchaeota;c__Korarchaeota;o__Korarchaeotales;f__Korarchaeotaceae;g__Candidatus Korarchaeum
k__Bacteria;p__Bacteroidetes,k__Archaea;p__Crenarchaeota;c__Thermoprotei,k__Archaea;p__Crenarchaeota;c__MCG;o__B10,k__Archaea;p__Crenarchaeota;c__MBGB;o__;f__,k__Archaea;p__Crenarchaeota;c__Korarchaeota;o__pJP78;f__;g__
k__Bacteria;p__BHI80-139,k__Archaea;p__Crenarchaeota;c__THSCG,k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26,k__Archaea;p__Crenarchaeota;c__MCG;o__;f__,k__Archaea;p__Crenarchaeota;c__MBGA;o__;f__;g__
k__Bacteria;p__BRC1,k__Archaea;p__Euryarchaeota;c__ANME-1,k__Archaea;p__Crenarchaeota;c__MHVG;o__,k__Archaea;p__Crenarchaeota;c__MCG;o__B10;f__,k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J;f__;g__
k__Bacteria;p__Caldiserica,k__Archaea;p__Euryarchaeota;c__Archaeoglobi,k__Archaea;p__Crenarchaeota;c__pISA9;o__,k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26;f__,k__Archaea;p__Crenarchaeota;c__MBGB;o__;f__;g__
k__Bacteria;p__Caldithrix,k__Archaea;p__Euryarchaeota;c__DSEG,k__Archaea;p__Crenarchaeota;c__pOWA133;o__,k__Archaea;p__Crenarchaeota;c__MHVG;o__;f__,k__Archaea;p__Crenarchaeota;c__MCG;o__;f__;g__
k__Bacteria;p__CD12,k__Archaea;p__Euryarchaeota;c__Halobacteria,k__Archaea;p__Crenarchaeota;c__pUWA2;o__,k__Archaea;p__Crenarchaeota;c__pISA9;o__;f__,k__Archaea;p__Crenarchaeota;c__MCG;o__B10;f__;g__
k__Bacteria;p__Chlamydiae,k__Archaea;p__Euryarchaeota;c__Methanobacteria,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__AK31,k__Archaea;p__Crenarchaeota;c__pOWA133;o__;f__,k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26;f__;g__
k__Bacteria;p__Chlorobi,k__Archaea;p__Euryarchaeota;c__Methanococci,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales,k__Archaea;p__Crenarchaeota;c__pUWA2;o__;f__,k__Archaea;p__Crenarchaeota;c__MHVG;o__;f__;g__
k__Bacteria;p__Chloroflexi,k__Archaea;p__Euryarchaeota;c__Methanomicrobia,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__D-F10,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__AK31;f__,k__Archaea;p__Crenarchaeota;c__pISA9;o__;f__;g__
k__Bacteria;p__Chrysiogenetes,k__Archaea;p__Euryarchaeota;c__Methanopyri,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrosocaldales,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__,k__Archaea;p__Crenarchaeota;c__pOWA133;o__;f__;g__
k__Bacteria;p__Cyanobacteria,k__Archaea;p__Euryarchaeota;c__Thermococci,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae,k__Archaea;p__Crenarchaeota;c__pUWA2;o__;f__;g__
k__Bacteria;p__Deferribacteres,k__Archaea;p__Euryarchaeota;c__Thermoplasmata,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__AK31;f__;g__
k__Bacteria;p__Dictyoglomi,k__Archaea;p__Nanoarchaeota;c__[Nanoarchaeoti],k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__D-F10;f__,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__;g__
k__Bacteria;p__Elusimicrobia,k__Bacteria;p__;c__,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrosocaldales;f__Nitrosocaldaceae,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__
k__Bacteria;p__EM19,k__Bacteria;p__[Caldithrix];c__KSB1,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Cenarchaeum
k__Bacteria;p__EM3,k__Bacteria;p__[Thermi];c__Deinococci,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__YNPFFA,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__;f__,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus
k__Bacteria;p__FBP,k__Bacteria;p__AC1;c__,k__Archaea;p__Crenarchaeota;c__THSCG;o__,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X;g__
k__Bacteria;p__FCPU426,k__Bacteria;p__AC1;c__B04R032,k__Archaea;p__Euryarchaeota;c__ANME-1;o__,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X;g__Nitrosotalea
k__Bacteria;p__Fibrobacteres,k__Bacteria;p__AC1;c__HDBW-WB69,k__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Pyrodictiaceae,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__D-F10;f__;g__
k__Bacteria;p__Firmicutes,k__Bacteria;p__AC1;c__SHA-114,k__Archaea;p__Euryarchaeota;c__DSEG;o__,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrosocaldales;f__Nitrosocaldaceae;g__Candidatus Nitrosocaldus
k__Bacteria;p__Fusobacteria,k__Bacteria;p__AC1;c__TA06,k__Archaea;p__Euryarchaeota;c__DSEG;o__104A5,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermofilaceae,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__
