sample.id,sex,site,Crenarchaeota,Euryarchaeota,Parvarchaeota,Other,AD3,Acidobacteria,Actinobacteria,AncK6,Aquificae,Armatimonadetes,BHI80-139,BRC1,Bacteroidetes,Chlamydiae,Chlorobi,Chloroflexi,Cyanobacteria,Deferribacteres,Elusimicrobia,FBP,FCPU426,Fibrobacteres,Firmicutes,Fusobacteria,GAL15,GN02,GN04,Gemmatimonadetes,Lentisphaerae,MVP-21,NC10,NKB19,Nitrospirae,OD1,OP11,OP3,OP9,PAUC34f,Planctomycetes,Proteobacteria,SBR1093,SR1,Spirochaetes,Synergistetes,TM6,TM7,Tenericutes,Verrucomicrobia,WPS-2,WS2,WS3,WWE1,ZB3,Thermi
1240.105378,female,stool,0,0,0,0,0,0,0.001322637,0,0,0,0,0,0.093102159,0,0,0,0.000230024,0,0,0,0,0,0.066994451,2.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.837373127,0,0,0,0,0,0,0,0.000948848,0,0,0,0,0,0
1248.107596,male,stool,0,0,0,0,0,0,0.299129353,0,0,0,0,0,0.269900498,0,0,0,0.005597015,0,0,0,0,0,0.30659204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081467662,0,0,0,0,0,0,0,0.037313433,0,0,0,0,0,0
1253.107622,female,stool,0,0.000364697,0,0,0,0,0.044493071,0,0,0,0,0,0.497811816,0,0,0,0,0,0,0,0,0,0.191344517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151227814,0,0,0,0,0,0,0.000121566,0.114636518,0,0,0,0,0,0
1278.1076,female,stool,0,0,0,0,0,0,0.005596107,0,0,0,0,0,0.583090024,0,0,0,0.000121655,0,0,0,0,0,0.374695864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036131387,0,0,0,0,0,0,0.000243309,0.000121655,0,0,0,0,0,0
1305.107591,female,stool,0,0,0,0,0,0,0.007362184,0,0,0,0,0,0.591847728,0,0,0,0,0,0,0,0,0,0.3596696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026396121,0,0,0,0,0,0,0.000179565,0.014544802,0,0,0,0,0,0
1321.113156,male,stool,0,0,0,0,0,0,0.021588486,0,0,0,0,0,0.525319829,0,0,0,0,0,0,0,0,0,0.394189765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057902452,0,0,0,0,0,0,0.000866205,0.000133262,0,0,0,0,0,0
1336.10759,female,stool,0,0,0,0,0,0,0.006716418,0,0,0,0,0,0.511100746,0,0,0,0,0,0,0,0,0,0.466464552,0,0,0,0,0,0.000186567,0,0,0,0,0,0,0,0,0,0,0.011520522,0,0,0,0,0,0,0.002378731,0.001632463,0,0,0,0,0,0
1352.1213,male,stool,0,0,0,0,0,0,0.000920656,0,0,0,0,0,0.675343154,0,0,0,0,0,0,0,0,0,0.313274188,0.000334784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008788082,0,0,0,0,0,0,8.37E-05,0.00125544,0,0,0,0,0,0
1384.107644,female,stool,0,0,0,0,0,0,0.003966472,0,0,0,0,0,0.809833857,0,0,0,0,0,0,0,0,0,0.152746595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033228559,0,0,0,0,0,0,0,0.000224517,0,0,0,0,0,0
1404.107573,male,stool,0,0,0,0,0,0,0.007858048,0,0,0,0,0,0.350823828,0,0,0,0.001774398,0,0,0,0,0,0.538656527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026362484,0,0,0,0,0,0,0.000506971,0.074017744,0,0,0,0,0,0
1405.107611,female,stool,0,0,0,0,0,0,0.001405845,0,0,0,0,0,0.462301147,0,0,0,0,0,0,0,0,0,0.036921939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498187199,0,0,0,0,0,0,0.000591935,0.000591935,0,0,0,0,0,0
